                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4793,                  3.223,                 2.1614,                0.44636,                0.58949,                0.26778,                0.17662,                 1.0699,                 3.3819,                 1.6044,               0.000225,               0.000225,               0.000225
                      2,                 1.0742,                 1.7408,                 1.6631,                0.21379,                0.76759,                0.28592,                0.21302,                0.84684,                 2.7735,                 1.4303,             0.00045711,             0.00045711,             0.00045711
                      3,                  1.001,                 1.4966,                 1.5977,                0.29825,                0.57744,                0.38669,                0.30012,                0.82772,                 1.9093,                 1.3825,             0.00068369,             0.00068369,             0.00068369
                      4,                0.95537,                  1.394,                 1.6363,                0.48346,                0.51044,                 0.4241,                0.31944,                0.73989,                 1.6585,                  1.363,             0.00090474,             0.00090474,             0.00090474
                      5,                0.88697,                 1.2737,                 1.5456,                0.63691,                0.50216,                0.47452,                0.36417,                0.78582,                 1.3584,                 1.4298,              0.0011203,              0.0011203,              0.0011203
                      6,                0.90951,                 1.2889,                 1.5774,                0.27715,                 0.7463,                0.32004,                0.23132,                0.79849,                 3.1881,                 1.5241,              0.0011772,              0.0011772,              0.0011772
                      7,                0.85926,                 1.2376,                 1.5203,                0.37009,                  0.564,                0.42912,                0.31496,                0.78065,                 1.3764,                 1.4919,              0.0011772,              0.0011772,              0.0011772
                      8,                0.83947,                 1.1461,                 1.5671,                0.34545,                0.68696,                0.46243,                0.34956,                0.79368,                 1.2897,                 1.4784,              0.0011626,              0.0011626,              0.0011626
                      9,                0.82657,                  1.041,                 1.5215,                0.29847,                0.61207,                0.40799,                0.30376,                 0.8232,                 1.3174,                 1.4748,              0.0011481,              0.0011481,              0.0011481
                     10,                0.81735,                 1.0245,                 1.5356,                0.29395,                0.65683,                 0.4384,                0.32756,                0.83575,                 1.2556,                 1.6027,              0.0011335,              0.0011335,              0.0011335
                     11,                0.80663,                 1.0603,                 1.5762,                0.38897,                0.59641,                 0.4499,                0.33296,                0.81776,                 1.3073,                  1.507,               0.001119,               0.001119,               0.001119
                     12,                 0.7681,                0.97211,                 1.4776,                0.43592,                0.39557,                0.40819,                0.31293,                0.79609,                 1.5051,                 1.4973,              0.0011044,              0.0011044,              0.0011044
                     13,                0.75037,                0.93795,                 1.4269,                0.63514,                0.49308,                0.46779,                0.36643,                0.79204,                 1.4044,                 1.5704,              0.0010899,              0.0010899,              0.0010899
                     14,                0.77279,                0.92439,                 1.5433,                0.44378,                0.57586,                0.47912,                0.36602,                 0.8074,                 1.2799,                 1.5163,              0.0010753,              0.0010753,              0.0010753
                     15,                0.73829,                0.86294,                   1.47,                0.34806,                0.50728,                0.40252,                0.29946,                0.84199,                 1.4229,                 1.5641,              0.0010607,              0.0010607,              0.0010607
                     16,                0.74951,                 0.8592,                 1.4473,                0.74344,                0.39189,                0.41613,                0.32448,                0.75574,                 1.4993,                 1.4709,              0.0010462,              0.0010462,              0.0010462
                     17,                0.70252,                0.79999,                 1.4656,                 0.4822,                0.49451,                0.43374,                 0.3268,                0.74888,                 1.1074,                 1.4698,              0.0010316,              0.0010316,              0.0010316
                     18,                0.71632,                0.76348,                 1.4693,                0.31646,                0.58606,                0.42074,                0.31281,                0.81455,                 1.4736,                 1.5571,              0.0010171,              0.0010171,              0.0010171
                     19,                0.72855,                0.79261,                  1.515,                 0.4552,                0.52249,                  0.473,                0.35276,                0.76398,                 1.2123,                 1.5311,              0.0010025,              0.0010025,              0.0010025
                     20,                0.71861,                0.75765,                 1.4854,                0.46731,                0.48794,                0.46919,                0.36382,                0.73536,                 1.1541,                 1.4515,             0.00098794,             0.00098794,             0.00098794
                     21,                0.68889,                0.72816,                  1.448,                0.39364,                0.60581,                0.45175,                0.34032,                0.76643,                 1.2742,                 1.5459,             0.00097338,             0.00097338,             0.00097338
                     22,                0.67442,                0.67236,                 1.4364,                0.56934,                0.47584,                0.53105,                0.39948,                0.76182,                 1.2467,                 1.5208,             0.00095882,             0.00095882,             0.00095882
                     23,                0.67423,                0.67914,                 1.4555,                0.40823,                0.65782,                0.46765,                0.36555,                0.72518,                 1.2948,                 1.4657,             0.00094426,             0.00094426,             0.00094426
                     24,                0.66047,                0.67011,                 1.4644,                0.38143,                0.58286,                0.41481,                0.31649,                0.77584,                 1.3303,                  1.543,             0.00092971,             0.00092971,             0.00092971
                     25,                0.63533,                0.64071,                 1.4222,                0.40731,                0.61729,                0.45429,                 0.3516,                0.78741,                 1.2425,                 1.5637,             0.00091515,             0.00091515,             0.00091515
                     26,                0.63083,                 0.6323,                 1.4067,                0.52524,                0.50245,                 0.4927,                0.38325,                0.81684,                 1.2884,                 1.5675,             0.00090059,             0.00090059,             0.00090059
                     27,                0.63295,                0.60392,                 1.4299,                 0.3792,                 0.6272,                 0.4104,                0.31063,                0.79222,                 1.2395,                 1.5314,             0.00088603,             0.00088603,             0.00088603
                     28,                0.62618,                0.57105,                 1.4367,                0.47536,                0.58982,                 0.5012,                0.38653,                0.76419,                  1.342,                  1.508,             0.00087147,             0.00087147,             0.00087147
                     29,                0.61006,                0.56039,                 1.4189,                0.41216,                0.58958,                0.45031,                0.35148,                0.78098,                 1.4815,                 1.5771,             0.00085691,             0.00085691,             0.00085691
                     30,                0.61226,                0.57081,                 1.4216,                   0.49,                0.47119,                 0.4818,                0.37245,                0.78366,                 1.5158,                 1.5145,             0.00084235,             0.00084235,             0.00084235
                     31,                0.59221,                0.55154,                 1.4192,                0.50375,                0.47156,                0.47819,                 0.3783,                0.80098,                 1.4964,                 1.5513,             0.00082779,             0.00082779,             0.00082779
                     32,                0.58756,                0.53795,                 1.4204,                0.48237,                0.46602,                0.43789,                0.34329,                0.75631,                 1.3204,                 1.5139,             0.00081324,             0.00081324,             0.00081324
                     33,                0.58175,                0.53072,                 1.4114,                0.45094,                0.49964,                0.45154,                0.34843,                0.76616,                 1.6313,                 1.5251,             0.00079868,             0.00079868,             0.00079868
                     34,                 0.5694,                0.51261,                 1.3816,                0.46439,                0.40094,                 0.3594,                0.26604,                0.78206,                 2.0299,                 1.5902,             0.00078412,             0.00078412,             0.00078412
                     35,                0.58397,                0.52331,                 1.4012,                0.44011,                0.48192,                0.40876,                0.31702,                0.77167,                 1.5018,                 1.5563,             0.00076956,             0.00076956,             0.00076956
                     36,                0.56667,                0.50014,                  1.378,                0.42196,                0.50391,                 0.4496,                  0.357,                0.75094,                 1.5123,                 1.5465,               0.000755,               0.000755,               0.000755
                     37,                0.54468,                 0.4805,                 1.3903,                0.35485,                0.60054,                0.42732,                0.33427,                0.76915,                 1.3704,                 1.5457,             0.00074044,             0.00074044,             0.00074044
                     38,                0.53387,                0.46679,                 1.3864,                0.46309,                 0.5173,                0.44245,                0.33675,                0.79924,                 1.4328,                 1.5783,             0.00072588,             0.00072588,             0.00072588
                     39,                0.54698,                0.46745,                 1.4033,                0.46917,                0.52567,                0.44246,                0.33963,                0.75894,                 1.5864,                 1.5178,             0.00071132,             0.00071132,             0.00071132
                     40,                 0.5362,                0.46663,                 1.4059,                0.43533,                0.49011,                0.45249,                0.35891,                0.80166,                 1.4621,                 1.5731,             0.00069676,             0.00069676,             0.00069676
                     41,                0.54436,                 0.4724,                 1.3959,                0.49091,                0.57208,                0.51893,                0.41543,                0.75899,                 1.5856,                 1.5061,             0.00068221,             0.00068221,             0.00068221
                     42,                0.54526,                0.47427,                 1.4199,                0.46645,                0.64237,                0.51687,                 0.4118,                0.79757,                 1.3998,                 1.5472,             0.00066765,             0.00066765,             0.00066765
                     43,                0.51238,                0.43615,                  1.391,                0.43806,                0.58094,                0.47984,                0.38142,                0.75421,                 1.3127,                 1.4929,             0.00065309,             0.00065309,             0.00065309
                     44,                0.51477,                0.50374,                  1.367,                0.47112,                0.44332,                0.42868,                0.33454,                0.74524,                 1.5396,                  1.518,             0.00063853,             0.00063853,             0.00063853
                     45,                0.48405,                0.40463,                 1.3483,                0.45917,                0.53566,                0.47376,                 0.3727,                0.73374,                 1.3694,                 1.4996,             0.00062397,             0.00062397,             0.00062397
                     46,                 0.5187,                 0.4322,                 1.3992,                0.56901,                0.48101,                0.51813,                0.39972,                 0.7682,                 1.2117,                 1.5397,             0.00060941,             0.00060941,             0.00060941
                     47,                0.50503,                0.42066,                 1.3934,                0.42298,                0.57174,                0.48675,                0.39211,                0.74565,                 1.4429,                 1.5114,             0.00059485,             0.00059485,             0.00059485
                     48,                0.49511,                0.40716,                 1.3465,                0.46162,                0.57597,                0.52929,                0.41447,                0.75176,                 1.4626,                 1.4809,             0.00058029,             0.00058029,             0.00058029
                     49,                0.49753,                0.41002,                 1.3558,                0.44289,                 0.5463,                0.47066,                0.36791,                0.73526,                 1.5524,                 1.5152,             0.00056574,             0.00056574,             0.00056574
                     50,                0.50259,                0.40332,                 1.3763,                0.50821,                0.56178,                0.48633,                0.38504,                0.73636,                  1.568,                 1.5317,             0.00055118,             0.00055118,             0.00055118
                     51,                0.47951,                0.39376,                 1.3656,                0.43881,                0.57418,                0.49668,                0.39288,                0.74019,                 1.5754,                 1.5355,             0.00053662,             0.00053662,             0.00053662
                     52,                0.46995,                0.38989,                 1.3731,                0.50372,                0.58731,                0.53718,                0.41646,                0.76803,                 1.6424,                  1.582,             0.00052206,             0.00052206,             0.00052206
